weight,age,height,size
62,28.0,172.72,XL
59,36.0,167.64,L
61,34.0,165.1,M
65,27.0,175.26,L
62,45.0,172.72,M
50,27.0,160.02,S
53,65.0,160.02,M
51,33.0,160.02,XXS
54,26.0,167.64,M
53,32.0,165.1,S
63,30.0,170.18,XXXL
77,35.0,172.72,XXXL
64,26.0,165.1,L
52,28.0,160.02,M
65,33.0,165.1,L
63,30.0,167.64,L
54,21.0,167.64,XXS
63,27.0,172.72,M
63,30.0,167.64,M
54,20.0,167.64,S
55,32.0,154.94,S
55,37.0,160.02,M
55,50.0,165.1,S
50,43.0,160.02,M
74,29.0,177.8,XL
64,32.0,160.02,XL
58,29.0,167.64,XXS
54,47.0,165.1,M
58,31.0,154.94,XL
65,27.0,172.72,L
47,43.0,157.48,S
61,27.0,165.1,M
58,29.0,172.72,M
86,48.0,172.72,XXXL
68,36.0,162.56,XL
65,27.0,170.18,L
65,34.0,170.18,L
54,40.0,157.48,M
52,45.0,154.94,M
52,30.0,170.18,S
58,52.0,162.56,XXXL
78,37.0,175.26,XXXL
61,34.0,172.72,L
49,24.0,167.64,S
61,28.0,162.56,M
64,34.0,162.56,XXXL
63,25.0,167.64,S
56,32.0,157.48,M
50,27.0,170.18,S
77,29.0,172.72,XXXL
